Date	matchname	Gender	WinningTeam	Byrun	Bywicket	Overs	Team1	Team2	TossWinner	TossDecision	Venue	MatchId
2021-07-18	Bangladesh tour of Zimbabwe--729	male	Bangladesh		3.0	50	Zimbabwe	Bangladesh	Zimbabwe	bat	Harare Sports Club	729.0
2021-07-20	Bangladesh tour of Zimbabwe--730	male	Bangladesh		5.0	50	Zimbabwe	Bangladesh	Bangladesh	field	Harare Sports Club	730.0
2021-09-02	South Africa tour of Sri Lanka--731	male	Sri Lanka	14.0		50	Sri Lanka	South Africa	Sri Lanka	bat	R Premadasa Stadium, Colombo	731.0
2021-09-04	South Africa tour of Sri Lanka--732	male	South Africa	67.0		50	South Africa	Sri Lanka	South Africa	bat	R Premadasa Stadium, Colombo	732.0
2021-09-07	South Africa tour of Sri Lanka--733	male	Sri Lanka	78.0		50	Sri Lanka	South Africa	Sri Lanka	bat	R Premadasa Stadium, Colombo	733.0
2021-09-08	Zimbabwe tour of Ireland and Scotland--734	male	Zimbabwe	38.0		50	Zimbabwe	Ireland	Ireland	field	Civil Service Cricket Club, Stormont, Belfast	734.0
2021-09-10	Zimbabwe tour of Ireland and Scotland--735	male	no result			50	Ireland	Zimbabwe	Zimbabwe	field	Civil Service Cricket Club, Stormont, Belfast	735.0
2021-09-13	Zimbabwe tour of Ireland and Scotland--736	male	Ireland		7.0	50	Zimbabwe	Ireland	Ireland	field	Civil Service Cricket Club, Stormont, Belfast	736.0
2021-09-07	South Africa Women tour of West Indies--737	female	South Africa		8.0	50	West Indies	South Africa	West Indies	bat	Coolidge Cricket Ground, Antigua	737.0
2021-09-10	South Africa Women tour of West Indies--738	female	South Africa		9.0	50	West Indies	South Africa	West Indies	bat	Coolidge Cricket Ground, Antigua	738.0
2021-09-13	South Africa Women tour of West Indies--739	female	South Africa		8.0	50	West Indies	South Africa	South Africa	field	Coolidge Cricket Ground, Antigua	739.0
2021-09-16	South Africa Women tour of West Indies--740	female	South Africa	35.0		50	South Africa	West Indies	West Indies	field	Sir Vivian Richards Stadium, North Sound, Antigua	740.0
2021-09-19	South Africa Women tour of West Indies--741	female	no result			50	West Indies	South Africa	West Indies	bat	Sir Vivian Richards Stadium, North Sound, Antigua	741.0
2021-09-13	ICC Men's Cricket World Cup League 2--742	male	Nepal		5.0	50	United States of America	Nepal	United States of America	bat	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)	742.0
2021-09-14	ICC Men's Cricket World Cup League 2--743	male	Oman		5.0	50	Nepal	Oman	Nepal	bat	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)	743.0
2021-09-16	ICC Men's Cricket World Cup League 2--744	male	Oman		4.0	50	United States of America	Oman	Oman	field	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)	744.0
2021-09-19	ICC Men's Cricket World Cup League 2--745	male	Nepal		7.0	50	Oman	Nepal	Nepal	field	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)	745.0
2021-09-25	ICC Men's Cricket World Cup League 2--746	male	Scotland		6.0	50	Papua New Guinea	Scotland	Scotland	field	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)	746.0
2021-09-26	ICC Men's Cricket World Cup League 2--747	male	Oman	110.0		50	Oman	Papua New Guinea	Papua New Guinea	field	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)	747.0
2021-09-28	ICC Men's Cricket World Cup League 2--748	male	Scotland	18.0		50	Scotland	Oman	Scotland	bat	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)	748.0
2021-09-29	ICC Men's Cricket World Cup League 2--749	male	Scotland		4.0	50	Papua New Guinea	Scotland	Papua New Guinea	bat	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)	749.0
2021-10-01	ICC Men's Cricket World Cup League 2--750	male	Oman		3.0	50	Papua New Guinea	Oman	Papua New Guinea	bat	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)	750.0
2021-10-02	ICC Men's Cricket World Cup League 2--751	male	no result			50	Scotland	Oman	Scotland	bat	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)	751.0
2021-09-06	Papua New Guinea v United States of America ODI Series--752	male	United States of America		7.0	50	Papua New Guinea	United States of America	Papua New Guinea	bat	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)	752.0
2021-09-09	Papua New Guinea v United States of America ODI Series--753	male	United States of America	134.0		50	United States of America	Papua New Guinea	Papua New Guinea	field	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)	753.0
2021-09-07	Nepal v Papua New Guinea ODI Series--754	male	Nepal		2.0	50	Papua New Guinea	Nepal	Papua New Guinea	bat	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)	754.0
2021-09-10	Nepal v Papua New Guinea ODI Series--755	male	Nepal	151.0		50	Nepal	Papua New Guinea	Nepal	bat	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)	755.0
2022-07-12	India tour of England--756	male	India		10.0	50	England	India	India	field	Kennington Oval, London	756.0
2022-07-14	India tour of England--757	male	England	100.0		50	England	India	India	field	Lord's, London	757.0
2022-07-17	India tour of England--758	male	India		5.0	50	England	India	India	field	Old Trafford, Manchester	758.0
2022-07-19	South Africa tour of England--759	male	South Africa	62.0		50	South Africa	England	South Africa	bat	Riverside Ground, Chester-le-Street	759.0
2022-07-22	South Africa tour of England--760	male	England	118.0		50	England	South Africa	South Africa	field	Old Trafford, Manchester	760.0
2022-07-24	South Africa tour of England--761	male	no result			50	South Africa	England	South Africa	bat	Headingley, Leeds	761.0
2021-11-26	Netherlands tour of South Africa--762	male	no result			50	South Africa	Netherlands	Netherlands	field	SuperSport Park, Centurion	762.0
2022-01-19	India tour of South Africa--763	male	South Africa	31.0		50	South Africa	India	South Africa	bat	Boland Park, Paarl	763.0
2022-01-21	India tour of South Africa--764	male	South Africa		7.0	50	India	South Africa	India	bat	Boland Park, Paarl	764.0
2022-01-23	India tour of South Africa--765	male	South Africa	4.0		50	South Africa	India	India	field	Newlands, Cape Town	765.0
2022-01-08	Ireland tour of United States of America and West Indies--766	male	West Indies	24.0		50	West Indies	Ireland	Ireland	field	Sabina Park, Kingston, Jamaica	766.0
2022-01-13	Ireland tour of United States of America and West Indies--767	male	Ireland		5.0	50	West Indies	Ireland	Ireland	field	Sabina Park, Kingston, Jamaica	767.0
2022-01-16	Ireland tour of United States of America and West Indies--768	male	Ireland		2.0	50	West Indies	Ireland	Ireland	field	Sabina Park, Kingston, Jamaica	768.0
2022-01-28	West Indies Women tour of South Africa--769	female	no result			50	West Indies	South Africa	South Africa	field	The Wanderers Stadium, Johannesburg	769.0
2022-01-31	West Indies Women tour of South Africa--770	female	no result			50	South Africa	West Indies	West Indies	field	The Wanderers Stadium, Johannesburg	770.0
2022-02-03	West Indies Women tour of South Africa--771	female	South Africa	96.0		50	South Africa	West Indies	South Africa	bat	The Wanderers Stadium, Johannesburg	771.0
2022-02-06	West Indies Women tour of South Africa--772	female	South Africa		6.0	50	West Indies	South Africa	West Indies	bat	The Wanderers Stadium, Johannesburg	772.0
2022-03-18	Bangladesh tour of South Africa--773	male	Bangladesh	38.0		50	Bangladesh	South Africa	South Africa	field	SuperSport Park, Centurion	773.0
2022-03-20	Bangladesh tour of South Africa--774	male	South Africa		7.0	50	Bangladesh	South Africa	Bangladesh	bat	The Wanderers Stadium, Johannesburg	774.0
2022-03-23	Bangladesh tour of South Africa--775	male	Bangladesh		9.0	50	South Africa	Bangladesh	South Africa	bat	SuperSport Park, Centurion	775.0
2022-02-06	West Indies tour of India--776	male	India		6.0	50	West Indies	India	India	field	Narendra Modi Stadium, Ahmedabad	776.0
2022-02-09	West Indies tour of India--777	male	India	44.0		50	India	West Indies	West Indies	field	Narendra Modi Stadium, Ahmedabad	777.0
2022-02-11	West Indies tour of India--778	male	India	96.0		50	India	West Indies	India	bat	Narendra Modi Stadium, Ahmedabad	778.0
2021-10-05	Ireland Women tour of Zimbabwe--779	female	Zimbabwe		4.0	50	Ireland	Zimbabwe	Zimbabwe	field	Harare Sports Club	779.0
2021-10-07	Ireland Women tour of Zimbabwe--780	female	Ireland	80.0		50	Ireland	Zimbabwe	Zimbabwe	field	Harare Sports Club	780.0
2021-10-09	Ireland Women tour of Zimbabwe--781	female	Ireland		8.0	50	Zimbabwe	Ireland	Zimbabwe	bat	Harare Sports Club	781.0
2021-10-11	Ireland Women tour of Zimbabwe--782	female	Ireland	85.0		50	Ireland	Zimbabwe	Zimbabwe	field	Harare Sports Club	782.0
2022-06-17	England tour of Netherlands--783	male	England	232.0		50	England	Netherlands	Netherlands	field	VRA Ground, Amstelveen	783.0
2022-06-19	England tour of Netherlands--784	male	England		6.0	50	Netherlands	England	Netherlands	bat	VRA Ground, Amstelveen	784.0
2022-06-22	England tour of Netherlands--785	male	England		8.0	50	Netherlands	England	England	field	VRA Ground, Amstelveen	785.0
2021-11-21	ICC Women's Cricket World Cup Qualifier--786	female	Bangladesh		3.0	50	Pakistan	Bangladesh	Bangladesh	field	Old Hararians, Harare	786.0
2021-11-27	ICC Women's Cricket World Cup Qualifier--787	female	Pakistan	114.0		50	Pakistan	Zimbabwe	Zimbabwe	field	Sunrise Sports Club, Harare	787.0
2021-11-08	West Indies Women tour of Pakistan--788	female	West Indies	45.0		50	West Indies	Pakistan	Pakistan	field	National Stadium, Karachi	788.0
2021-11-11	West Indies Women tour of Pakistan--789	female	West Indies	37.0		50	West Indies	Pakistan	Pakistan	field	National Stadium, Karachi	789.0
2021-11-14	West Indies Women tour of Pakistan--790	female	West Indies		6.0	50	Pakistan	West Indies	West Indies	field	National Stadium, Karachi	790.0
2022-03-29	Australia tour of Pakistan--791	male	Australia	88.0		50	Australia	Pakistan	Pakistan	field	Gaddafi Stadium, Lahore	791.0
2022-03-31	Australia tour of Pakistan--792	male	Pakistan		6.0	50	Australia	Pakistan	Pakistan	field	Gaddafi Stadium, Lahore	792.0
2022-04-02	Australia tour of Pakistan--793	male	Pakistan		9.0	50	Australia	Pakistan	Pakistan	field	Gaddafi Stadium, Lahore	793.0
2021-11-15	Bangladesh Women in Zimbabwe ODI Series--794	female	Bangladesh		7.0	50	Zimbabwe	Bangladesh	Zimbabwe	bat	Queens Sports Club, Bulawayo	794.0
2022-03-29	Netherlands tour of New Zealand--795	male	New Zealand		7.0	50	Netherlands	New Zealand	Netherlands	bat	Bay Oval, Mount Maunganui	795.0
2022-04-02	Netherlands tour of New Zealand--796	male	New Zealand	118.0		50	New Zealand	Netherlands	Netherlands	field	Seddon Park, Hamilton	796.0
2022-04-04	Netherlands tour of New Zealand--797	male	New Zealand	115.0		50	New Zealand	Netherlands	New Zealand	bat	Seddon Park, Hamilton	797.0
2022-02-12	India Women tour of New Zealand--798	female	New Zealand	62.0		50	New Zealand	India	India	field	John Davies Oval, Queenstown	798.0
2022-02-15	India Women tour of New Zealand--799	female	New Zealand		3.0	50	India	New Zealand	India	bat	John Davies Oval, Queenstown	799.0
2022-02-18	India Women tour of New Zealand--800	female	New Zealand		3.0	50	India	New Zealand	New Zealand	field	John Davies Oval, Queenstown	800.0
2022-02-22	India Women tour of New Zealand--801	female	New Zealand	63.0		50	New Zealand	India	India	field	John Davies Oval, Queenstown	801.0
2022-02-24	India Women tour of New Zealand--802	female	India		6.0	50	New Zealand	India	New Zealand	bat	John Davies Oval, Queenstown	802.0
2021-11-26	ICC Men's Cricket World Cup League 2--803	male	Namibia	40.0		50	Namibia	Oman	Oman	field	Wanderers Cricket Ground, Windhoek	803.0
2022-01-16	Zimbabwe tour of Sri Lanka--804	male	Sri Lanka		5.0	50	Zimbabwe	Sri Lanka	Zimbabwe	bat	Pallekele International Cricket Stadium	804.0
2022-01-18	Zimbabwe tour of Sri Lanka--805	male	Zimbabwe	22.0		50	Zimbabwe	Sri Lanka	Zimbabwe	bat	Pallekele International Cricket Stadium	805.0
2022-01-21	Zimbabwe tour of Sri Lanka--806	male	Sri Lanka	184.0		50	Sri Lanka	Zimbabwe	Sri Lanka	bat	Pallekele International Cricket Stadium	806.0
2022-01-21	Afghanistan v Netherlands--807	male	Afghanistan	36.0		50	Afghanistan	Netherlands	Netherlands	field	West End Park International Cricket Stadium, Doha	807.0
2022-01-23	Afghanistan v Netherlands--808	male	Afghanistan	48.0		50	Afghanistan	Netherlands	Afghanistan	bat	West End Park International Cricket Stadium, Doha	808.0
2022-01-25	ICC Men's Cricket World Cup Super League--809	male	Afghanistan	75.0		50	Afghanistan	Netherlands	Afghanistan	bat	West End Park International Cricket Stadium, Doha	809.0
2022-02-05	ICC Men's Cricket World Cup League 2--810	male	United Arab Emirates		4.0	50	Oman	United Arab Emirates	United Arab Emirates	field	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)	810.0
2022-02-06	ICC Men's Cricket World Cup League 2--811	male	United Arab Emirates		4.0	50	Oman	United Arab Emirates	United Arab Emirates	field	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)	811.0
2022-02-08	ICC Men's Cricket World Cup League 2--812	male	no result			50	Oman	United Arab Emirates	United Arab Emirates	field	Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)	812.0
2022-02-23	Afghanistan tour of Bangladesh--813	male	Bangladesh		4.0	50	Afghanistan	Bangladesh	Afghanistan	bat	Zahur Ahmed Chowdhury Stadium, Chattogram	813.0
2022-02-25	Afghanistan tour of Bangladesh--814	male	Bangladesh	88.0		50	Bangladesh	Afghanistan	Bangladesh	bat	Zahur Ahmed Chowdhury Stadium, Chattogram	814.0
2022-02-28	Afghanistan tour of Bangladesh--815	male	Afghanistan		7.0	50	Bangladesh	Afghanistan	Bangladesh	bat	Zahur Ahmed Chowdhury Stadium, Chattogram	815.0
2022-07-11	South Africa Women tour of England--816	female	England		5.0	50	South Africa	England	South Africa	bat	County Ground, Northampton	816.0
2022-07-15	South Africa Women tour of England--817	female	England	114.0		50	England	South Africa	England	bat	County Ground, Bristol	817.0
2022-07-18	South Africa Women tour of England--818	female	England	109.0		50	England	South Africa	South Africa	field	Grace Road, Leicester	818.0
2022-09-18	India Women tour of England--819	female	India		7.0	50	England	India	India	field	County Ground, Hove	819.0
2022-09-21	India Women tour of England--820	female	India	88.0		50	India	England	England	field	St Lawrence Ground, Canterbury	820.0
2022-09-24	India Women tour of England--821	female	India	16.0		50	India	England	England	field	Lord's, London	821.0
2022-05-31	West Indies tour of Netherlands--822	male	West Indies		7.0	50	Netherlands	West Indies	West Indies	field	VRA Ground, Amstelveen	822.0
2022-06-02	West Indies tour of Netherlands--823	male	West Indies		5.0	50	Netherlands	West Indies	Netherlands	bat	VRA Ground, Amstelveen	823.0
2022-06-04	West Indies tour of Netherlands--824	male	West Indies	20.0		50	West Indies	Netherlands	West Indies	bat	VRA Ground, Amstelveen	824.0
2022-03-05	ICC Men's Cricket World Cup League 2--825	male	Oman	12.0		50	Oman	United Arab Emirates	United Arab Emirates	field	ICC Academy, Dubai	825.0
2022-03-06	ICC Men's Cricket World Cup League 2--826	male	Namibia	110.0		50	Namibia	Oman	Namibia	bat	ICC Academy, Dubai	826.0
2022-03-08	ICC Men's Cricket World Cup League 2--827	male	United Arab Emirates		3.0	50	Namibia	United Arab Emirates	United Arab Emirates	field	ICC Academy, Dubai	827.0
2022-03-09	ICC Men's Cricket World Cup League 2--828	male	Oman	8.0		50	Oman	United Arab Emirates	Oman	bat	ICC Academy, Dubai	828.0
2022-03-11	ICC Men's Cricket World Cup League 2--829	male	Oman		7.0	50	Namibia	Oman	Namibia	bat	Sharjah Cricket Stadium	829.0
2022-03-12	ICC Men's Cricket World Cup League 2--830	male	United Arab Emirates	43.0		50	United Arab Emirates	Namibia	Namibia	field	Sharjah Cricket Stadium	830.0
2022-03-14	ICC Men's Cricket World Cup League 2--831	male	Namibia		5.0	50	Oman	Namibia	Oman	bat	Dubai International Cricket Stadium	831.0
2022-03-15	ICC Men's Cricket World Cup League 2--832	male	United Arab Emirates		7.0	50	Papua New Guinea	United Arab Emirates	Papua New Guinea	bat	Sharjah Cricket Stadium	832.0
2022-03-16	ICC Men's Cricket World Cup League 2--833	male	Nepal		2.0	50	Papua New Guinea	Nepal	Papua New Guinea	bat	Sharjah Cricket Stadium	833.0
2022-03-18	ICC Men's Cricket World Cup League 2--834	male	United Arab Emirates	48.0		50	United Arab Emirates	Nepal	United Arab Emirates	bat	Dubai International Cricket Stadium	834.0
2022-03-19	ICC Men's Cricket World Cup League 2--835	male	Papua New Guinea		6.0	50	United Arab Emirates	Papua New Guinea	United Arab Emirates	bat	Dubai International Cricket Stadium	835.0
2022-03-21	ICC Men's Cricket World Cup League 2--836	male	United Arab Emirates	99.0		50	United Arab Emirates	Nepal	Nepal	field	Dubai International Cricket Stadium	836.0
2022-03-22	ICC Men's Cricket World Cup League 2--837	male	Nepal		7.0	50	Papua New Guinea	Nepal	Nepal	field	Dubai International Cricket Stadium	837.0
2022-07-10	New Zealand tour of Ireland--838	male	New Zealand		1.0	50	Ireland	New Zealand	New Zealand	field	The Village, Malahide, Dublin	838.0
2022-07-12	New Zealand tour of Ireland--839	male	New Zealand		3.0	50	Ireland	New Zealand	New Zealand	field	The Village, Malahide, Dublin	839.0
2022-07-15	New Zealand tour of Ireland--840	male	New Zealand	1.0		50	New Zealand	Ireland	New Zealand	bat	The Village, Malahide, Dublin	840.0
2022-03-25	Papua New Guinea tour of Nepal--841	male	Papua New Guinea	6.0		50	Papua New Guinea	Nepal	Nepal	field	Tribhuvan University International Cricket Ground, Kirtipur	841.0
2022-03-26	Papua New Guinea tour of Nepal--842	male	Papua New Guinea		3.0	50	Nepal	Papua New Guinea	Nepal	bat	Tribhuvan University International Cricket Ground, Kirtipur	842.0
2022-06-14	Australia tour of Sri Lanka--843	male	Australia		2.0	50	Sri Lanka	Australia	Sri Lanka	bat	Pallekele International Cricket Stadium	843.0
2022-06-16	Australia tour of Sri Lanka--844	male	Sri Lanka	26.0		50	Sri Lanka	Australia	Australia	field	Pallekele International Cricket Stadium	844.0
2022-06-19	Australia tour of Sri Lanka--845	male	Sri Lanka		6.0	50	Australia	Sri Lanka	Australia	bat	R Premadasa Stadium, Colombo	845.0
2022-06-21	Australia tour of Sri Lanka--846	male	Sri Lanka	4.0		50	Sri Lanka	Australia	Australia	field	R Premadasa Stadium, Colombo	846.0
2022-06-24	Australia tour of Sri Lanka--847	male	Australia		4.0	50	Sri Lanka	Australia	Sri Lanka	bat	R Premadasa Stadium, Colombo	847.0
2022-07-31	New Zealand tour of Scotland--848	male	New Zealand		7.0	50	Scotland	New Zealand	Scotland	bat	Grange Cricket Club Ground, Raeburn Place, Edinburgh	848.0
2022-11-04	Ireland Women tour of Pakistan--849	female	Pakistan	128.0		50	Pakistan	Ireland	Pakistan	bat	Gaddafi Stadium, Lahore	849.0
2022-11-06	Ireland Women tour of Pakistan--850	female	Pakistan		9.0	50	Ireland	Pakistan	Ireland	bat	Gaddafi Stadium, Lahore	850.0
2022-11-09	Ireland Women tour of Pakistan--851	female	Pakistan		5.0	50	Ireland	Pakistan	Ireland	bat	Gaddafi Stadium, Lahore	851.0
2022-04-09	ICC Men's Cricket World Cup League 2--852	male	Scotland	162.0		50	Scotland	Papua New Guinea	Papua New Guinea	field	Dubai International Cricket Stadium	852.0
2022-04-10	ICC Men's Cricket World Cup League 2--853	male	Scotland	4.0		50	Scotland	Oman	Scotland	bat	Dubai International Cricket Stadium	853.0
2022-04-12	ICC Men's Cricket World Cup League 2--854	male	Oman		7.0	50	Papua New Guinea	Oman	Papua New Guinea	bat	Dubai International Cricket Stadium	854.0
2022-04-13	ICC Men's Cricket World Cup League 2--855	male	Scotland	123.0		50	Scotland	Papua New Guinea	Scotland	bat	Dubai International Cricket Stadium	855.0
2022-04-15	ICC Men's Cricket World Cup League 2--856	male	Scotland		2.0	50	Oman	Scotland	Oman	bat	Dubai International Cricket Stadium	856.0
2022-04-16	ICC Men's Cricket World Cup League 2--857	male	Oman	85.0		50	Oman	Papua New Guinea	Oman	bat	Dubai International Cricket Stadium	857.0
2022-06-04	Afghanistan tour of Zimbabwe--858	male	Afghanistan	60.0		50	Afghanistan	Zimbabwe	Zimbabwe	field	Harare Sports Club	858.0
2022-06-06	Afghanistan tour of Zimbabwe--859	male	Afghanistan		8.0	50	Zimbabwe	Afghanistan	Afghanistan	field	Harare Sports Club	859.0
2022-06-09	Afghanistan tour of Zimbabwe--860	male	Afghanistan		4.0	50	Zimbabwe	Afghanistan	Afghanistan	field	Harare Sports Club	860.0
2022-06-01	Sri Lanka Women tour of Pakistan--861	female	Pakistan		8.0	50	Sri Lanka	Pakistan	Sri Lanka	bat	Southend Club Cricket Stadium, Karachi	861.0
2022-06-03	Sri Lanka Women tour of Pakistan--862	female	Pakistan	73.0		50	Pakistan	Sri Lanka	Pakistan	bat	Southend Club Cricket Stadium, Karachi	862.0
2022-06-05	Sri Lanka Women tour of Pakistan--863	female	Sri Lanka	93.0		50	Sri Lanka	Pakistan	Sri Lanka	bat	Southend Club Cricket Stadium, Karachi	863.0
2022-08-16	Pakistan tour of Netherlands--864	male	Pakistan	16.0		50	Pakistan	Netherlands	Pakistan	bat	Hazelaarweg, Rotterdam	864.0
2022-08-18	Pakistan tour of Netherlands--865	male	Pakistan		7.0	50	Netherlands	Pakistan	Netherlands	bat	Hazelaarweg, Rotterdam	865.0
2022-08-21	Pakistan tour of Netherlands--866	male	Pakistan	9.0		50	Pakistan	Netherlands	Pakistan	bat	Hazelaarweg, Rotterdam	866.0
2022-05-28	ICC Men's Cricket World Cup League 2--867	male	United States of America	104.0		50	United States of America	Scotland	United States of America	bat	Choice Moosa Stadium, Pearland	867.0
2022-05-29	ICC Men's Cricket World Cup League 2--868	male	Scotland	111.0		50	Scotland	United States of America	Scotland	bat	Choice Moosa Stadium, Pearland	868.0
2022-05-31	ICC Men's Cricket World Cup League 2--869	male	Scotland		4.0	50	United Arab Emirates	Scotland	United Arab Emirates	bat	Moosa Cricket Stadium, Pearland	869.0
2022-06-01	ICC Men's Cricket World Cup League 2--870	male	United States of America		4.0	50	United Arab Emirates	United States of America	United Arab Emirates	bat	Moosa Cricket Stadium, Pearland	870.0
2022-06-03	ICC Men's Cricket World Cup League 2--871	male	United Arab Emirates		5.0	50	Scotland	United Arab Emirates	Scotland	bat	Moosa Cricket Stadium, Pearland	871.0
2022-06-04	ICC Men's Cricket World Cup League 2--872	male	United Arab Emirates		8.0	50	United States of America	United Arab Emirates	United Arab Emirates	field	Moosa Cricket Stadium, Pearland	872.0
2022-06-08	ICC Men's Cricket World Cup League 2--873	male	United States of America	114.0		50	United States of America	Oman	Oman	field	Moosa Cricket Stadium, Pearland	873.0
2022-06-09	ICC Men's Cricket World Cup League 2--874	male	Oman	13.0		50	Oman	Nepal	Oman	bat	Moosa Cricket Stadium, Pearland	874.0
2022-06-11	ICC Men's Cricket World Cup League 2--875	male	no result			50	Nepal	United States of America	Nepal	bat	Moosa Cricket Stadium, Pearland	875.0
2022-06-12	ICC Men's Cricket World Cup League 2--876	male	Oman	13.0		50	Oman	United States of America	Oman	bat	Moosa Cricket Stadium, Pearland	876.0
2022-06-14	ICC Men's Cricket World Cup League 2--877	male	Nepal		7.0	50	Oman	Nepal	Oman	bat	Moosa Cricket Stadium, Pearland	877.0
2022-06-15	ICC Men's Cricket World Cup League 2--878	male	United States of America	39.0		50	United States of America	Nepal	Nepal	field	Moosa Cricket Stadium, Pearland	878.0
2022-06-08	West Indies tour of Pakistan--879	male	Pakistan		5.0	50	West Indies	Pakistan	West Indies	bat	Multan Cricket Stadium	879.0
2022-06-10	West Indies tour of Pakistan--880	male	Pakistan	120.0		50	Pakistan	West Indies	Pakistan	bat	Multan Cricket Stadium	880.0
2022-06-12	West Indies tour of Pakistan--881	male	Pakistan	53.0		50	Pakistan	West Indies	Pakistan	bat	Multan Cricket Stadium	881.0
2022-06-11	South Africa Women tour of Ireland--882	female	South Africa		9.0	50	Ireland	South Africa	Ireland	bat	Castle Avenue, Dublin	882.0
2022-06-14	South Africa Women tour of Ireland--883	female	South Africa		9.0	50	Ireland	South Africa	South Africa	field	Castle Avenue, Dublin	883.0
2022-06-17	South Africa Women tour of Ireland--884	female	South Africa	189.0		50	South Africa	Ireland	South Africa	bat	Castle Avenue, Dublin	884.0
2022-07-10	Bangladesh tour of West Indies--885	male	Bangladesh		6.0	50	West Indies	Bangladesh	Bangladesh	field	Providence Stadium, Guyana	885.0
2022-07-13	Bangladesh tour of West Indies--886	male	Bangladesh		9.0	50	West Indies	Bangladesh	Bangladesh	field	Providence Stadium, Guyana	886.0
2022-07-16	Bangladesh tour of West Indies--887	male	Bangladesh		4.0	50	West Indies	Bangladesh	Bangladesh	field	Providence Stadium, Guyana	887.0
2022-08-28	Zimbabwe tour of Australia--888	male	Australia		5.0	50	Zimbabwe	Australia	Australia	field	Tony Ireland Stadium, Townsville	888.0
2022-08-31	Zimbabwe tour of Australia--889	male	Australia		8.0	50	Zimbabwe	Australia	Australia	field	Tony Ireland Stadium, Townsville	889.0
2022-09-03	Zimbabwe tour of Australia--890	male	Zimbabwe		3.0	50	Australia	Zimbabwe	Zimbabwe	field	Riverway Stadium, Townsville	890.0
2022-09-06	New Zealand tour of Australia--891	male	Australia		2.0	50	New Zealand	Australia	Australia	field	Cazaly's Stadium, Cairns	891.0
2022-09-08	New Zealand tour of Australia--892	male	Australia	113.0		50	Australia	New Zealand	New Zealand	field	Cazaly's Stadium, Cairns	892.0
2022-09-11	New Zealand tour of Australia--893	male	Australia	25.0		50	Australia	New Zealand	New Zealand	field	Cazaly's Stadium, Cairns	893.0
2022-11-17	England tour of Australia--894	male	Australia		6.0	50	England	Australia	Australia	field	Adelaide Oval	894.0
2022-11-19	England tour of Australia--895	male	Australia	72.0		50	Australia	England	Australia	bat	Sydney Cricket Ground	895.0
2022-11-22	England tour of Australia--896	male	Australia	221.0		50	Australia	England	England	field	Melbourne Cricket Ground	896.0
2022-07-22	India tour of West Indies--897	male	India	3.0		50	India	West Indies	West Indies	field	Queen's Park Oval, Port of Spain, Trinidad	897.0
2022-07-24	India tour of West Indies--898	male	India		2.0	50	West Indies	India	West Indies	bat	Queen's Park Oval, Port of Spain, Trinidad	898.0
2022-07-27	India tour of West Indies--899	male	India	119.0		50	India	West Indies	India	bat	Queen's Park Oval, Port of Spain, Trinidad	899.0
2022-08-17	New Zealand tour of West Indies--900	male	West Indies		5.0	50	New Zealand	West Indies	West Indies	field	Kensington Oval, Bridgetown, Barbados	900.0
2022-08-19	New Zealand tour of West Indies--901	male	New Zealand	50.0		50	New Zealand	West Indies	West Indies	field	Kensington Oval, Bridgetown, Barbados	901.0
2022-08-21	New Zealand tour of West Indies--902	male	New Zealand		5.0	50	West Indies	New Zealand	New Zealand	field	Kensington Oval, Bridgetown, Barbados	902.0
2022-07-01	India Women tour of Sri Lanka--903	female	India		4.0	50	Sri Lanka	India	Sri Lanka	bat	Pallekele International Cricket Stadium	903.0
2022-07-04	India Women tour of Sri Lanka--904	female	India		10.0	50	Sri Lanka	India	India	field	Pallekele International Cricket Stadium	904.0
2022-07-07	India Women tour of Sri Lanka--905	female	India	39.0		50	India	Sri Lanka	Sri Lanka	field	Pallekele International Cricket Stadium	905.0
2022-07-11	ICC Men's Cricket World Cup League 2--906	male	Namibia	40.0		50	Namibia	Nepal	Namibia	bat	Cambusdoon New Ground, Ayr	906.0
2022-07-13	ICC Men's Cricket World Cup League 2--907	male	Nepal		5.0	50	Scotland	Nepal	Nepal	field	Titwood, Glasgow	907.0
2022-07-14	ICC Men's Cricket World Cup League 2--908	male	Scotland		3.0	50	Namibia	Scotland	Scotland	field	Titwood, Glasgow	908.0
2022-07-16	ICC Men's Cricket World Cup League 2--909	male	Namibia	63.0		50	Namibia	Nepal	Namibia	bat	Cambusdoon New Ground, Ayr	909.0
