Date	matchname	Gender	WinningTeam	Byrun	Bywicket	Overs	Team1	Team2	TossWinner	TossDecision	Venue	MatchId
2010-02-05	Bangladesh in New Zealand ODI Series--1736	male	New Zealand	146.0		50	New Zealand	Bangladesh	New Zealand	bat	McLean Park	1736.0
2010-02-08	Bangladesh in New Zealand ODI Series--1737	male	New Zealand		5.0	50	New Zealand	Bangladesh	New Zealand	field	University Oval	1737.0
2010-02-11	Bangladesh in New Zealand ODI Series--1738	male	New Zealand		3.0	50	New Zealand	Bangladesh	New Zealand	field	AMI Stadium	1738.0
2010-03-03	Chappell-Hadlee Trophy--1739	male	New Zealand		2.0	50	New Zealand	Australia	Australia	bat	McLean Park	1739.0
2010-03-06	Chappell-Hadlee Trophy--1740	male	Australia	12.0		50	New Zealand	Australia	Australia	bat	Eden Park	1740.0
2010-03-09	Chappell-Hadlee Trophy--1741	male	Australia		6.0	50	New Zealand	Australia	Australia	field	Seddon Park	1741.0
2010-03-11	Chappell-Hadlee Trophy--1742	male	Australia		6.0	50	New Zealand	Australia	Australia	field	Eden Park	1742.0
2010-03-13	Chappell-Hadlee Trophy--1743	male	New Zealand	51.0		50	New Zealand	Australia	Australia	field	Westpac Stadium	1743.0
2010-06-17	-	male	Australia	39.0		50	Ireland	Australia	Australia	bat	Clontarf Cricket Club Ground	1744.0
2010-06-22	NatWest Series--1745	male	England		4.0	50	England	Australia	Australia	bat	The Rose Bowl	1745.0
2010-06-24	NatWest Series--1746	male	England		4.0	50	England	Australia	Australia	bat	Sophia Gardens	1746.0
2010-06-27	NatWest Series--1747	male	England		1.0	50	England	Australia	England	field	Old Trafford	1747.0
2010-06-30	NatWest Series--1748	male	Australia	78.0		50	England	Australia	England	field	Kennington Oval	1748.0
2010-07-03	NatWest Series--1749	male	Australia	42.0		50	England	Australia	Australia	bat	Lord's	1749.0
2010-07-08	NatWest Series--1750	male	England		6.0	50	England	Bangladesh	Bangladesh	bat	Trent Bridge	1750.0
2010-07-10	NatWest Series--1751	male	Bangladesh	5.0		50	England	Bangladesh	England	field	County Ground	1751.0
2010-07-12	NatWest Series--1752	male	England	144.0		50	England	Bangladesh	Bangladesh	field	Edgbaston	1752.0
2010-02-28	England in Bangladesh ODI Series--1753	male	England		6.0	50	Bangladesh	England	England	field	Shere Bangla National Stadium	1753.0
2010-03-02	England in Bangladesh ODI Series--1754	male	England		2.0	50	Bangladesh	England	England	field	Shere Bangla National Stadium	1754.0
